id,name,name_ascii,type,county_fips,state_id,state_name,lat,lng,population,metadata_tag
1,Whitley,Whitley,County,18183,IN,Indiana,41.1394,-85.5051,34048,0
2,White,White,County,18181,IN,Indiana,40.7498,-86.8655,24593,0
3,Wells,Wells,County,18179,IN,Indiana,40.7292,-85.2212,28103,0
4,Wayne,Wayne,County,18177,IN,Indiana,39.8644,-85.0098,66588,0
5,Washington,Washington,County,18175,IN,Indiana,38.6,-86.1053,28025,0
6,Warrick,Warrick,County,18173,IN,Indiana,38.0922,-87.2721,63575,0
7,Warren,Warren,County,18171,IN,Indiana,40.3469,-87.3533,8430,0
8,Wabash,Wabash,County,18169,IN,Indiana,40.8456,-85.794,31120,0
9,Vigo,Vigo,County,18167,IN,Indiana,39.4306,-87.39,106523,0
10,Vermillion,Vermillion,County,18165,IN,Indiana,39.8538,-87.464,15477,0
11,Vanderburgh,Vanderburgh,County,18163,IN,Indiana,38.0249,-87.5859,179695,0
12,Union,Union,County,18161,IN,Indiana,39.6256,-84.9251,7098,0
13,Tipton,Tipton,County,18159,IN,Indiana,40.3113,-86.0519,15290,0
14,Tippecanoe,Tippecanoe,County,18157,IN,Indiana,40.3886,-86.8941,185961,0
15,Switzerland,Switzerland,County,18155,IN,Indiana,38.8262,-85.0369,9870,0
16,Sullivan,Sullivan,County,18153,IN,Indiana,39.0888,-87.4147,20814,0
17,Steuben,Steuben,County,18151,IN,Indiana,41.6439,-85.0009,34379,0
18,Starke,Starke,County,18149,IN,Indiana,41.2809,-86.6476,23275,0
19,St. Joseph,St. Joseph,County,18141,IN,Indiana,41.6167,-86.2899,272049,0
20,Spencer,Spencer,County,18147,IN,Indiana,38.0141,-87.0077,19949,0
21,Shelby,Shelby,County,18145,IN,Indiana,39.5237,-85.7917,44825,0
22,Scott,Scott,County,18143,IN,Indiana,38.6851,-85.7475,24290,0
23,Rush,Rush,County,18139,IN,Indiana,39.62,-85.4658,16706,0
24,Ripley,Ripley,County,18137,IN,Indiana,39.1035,-85.2624,28953,0
25,Randolph,Randolph,County,18135,IN,Indiana,40.1576,-85.0114,24681,0
26,Putnam,Putnam,County,18133,IN,Indiana,39.6663,-86.845,36838,0
27,Pulaski,Pulaski,County,18131,IN,Indiana,41.0419,-86.6988,12496,0
28,Posey,Posey,County,18129,IN,Indiana,38.0218,-87.8685,25301,0
29,Porter,Porter,County,18127,IN,Indiana,41.4603,-87.0672,172353,0
30,Pike,Pike,County,18125,IN,Indiana,38.3988,-87.2322,12220,0
31,Perry,Perry,County,18123,IN,Indiana,38.0796,-86.638,19151,0
32,Parke,Parke,County,18121,IN,Indiana,39.7736,-87.2064,16316,0
33,Owen,Owen,County,18119,IN,Indiana,39.3128,-86.8377,21280,0
34,Orange,Orange,County,18117,IN,Indiana,38.5418,-86.495,19752,0
35,Ohio,Ohio,County,18115,IN,Indiana,38.9501,-84.9652,5931,0
36,Noble,Noble,County,18113,IN,Indiana,41.3986,-85.4175,47293,0
37,Newton,Newton,County,18111,IN,Indiana,40.9558,-87.3976,13865,0
38,Morgan,Morgan,County,18109,IN,Indiana,39.4816,-86.4462,71394,0
39,Montgomery,Montgomery,County,18107,IN,Indiana,40.0404,-86.8933,37967,0
40,Monroe,Monroe,County,18105,IN,Indiana,39.1609,-86.5231,140189,0
41,Miami,Miami,County,18103,IN,Indiana,40.7695,-86.045,36100,0
42,Martin,Martin,County,18101,IN,Indiana,38.708,-86.8031,9885,0
43,Marshall,Marshall,County,18099,IN,Indiana,41.3248,-86.2618,46175,0
44,Marion,Marion,County,18097,IN,Indiana,39.7817,-86.1385,969542,0
45,Madison,Madison,County,18095,IN,Indiana,40.1616,-85.7194,130037,0
46,Lawrence,Lawrence,County,18093,IN,Indiana,38.8412,-86.4835,45133,0
47,Lake,Lake,County,18089,IN,Indiana,41.4167,-87.3821,495925,0
48,LaPorte,LaPorte,County,18091,IN,Indiana,41.546,-86.74,112184,0
49,LaGrange,LaGrange,County,18087,IN,Indiana,41.6426,-85.4265,40085,0
50,Kosciusko,Kosciusko,County,18085,IN,Indiana,41.2441,-85.8607,80151,0
51,Knox,Knox,County,18083,IN,Indiana,38.6891,-87.418,36362,0
52,Johnson,Johnson,County,18081,IN,Indiana,39.49,-86.1016,159739,0
53,Jennings,Jennings,County,18079,IN,Indiana,38.9969,-85.628,27619,0
54,Jefferson,Jefferson,County,18077,IN,Indiana,38.7858,-85.4385,33000,0
55,Jay,Jay,County,18075,IN,Indiana,40.438,-85.0057,20570,0
56,Jasper,Jasper,County,18073,IN,Indiana,41.023,-87.1161,33006,0
57,Jackson,Jackson,County,18071,IN,Indiana,38.9064,-86.0375,45948,0
58,Huntington,Huntington,County,18069,IN,Indiana,40.8292,-85.4881,36572,0
59,Howard,Howard,County,18067,IN,Indiana,40.4836,-86.117,83349,0
60,Henry,Henry,County,18065,IN,Indiana,39.9311,-85.3964,48857,0
61,Hendricks,Hendricks,County,18063,IN,Indiana,39.7695,-86.51,172100,0
62,Harrison,Harrison,County,18061,IN,Indiana,38.1951,-86.1114,39516,0
63,Hancock,Hancock,County,18059,IN,Indiana,39.8236,-85.7733,78616,0
64,Hamilton,Hamilton,County,18057,IN,Indiana,40.0725,-86.052,341616,0
65,Greene,Greene,County,18055,IN,Indiana,39.0363,-86.9621,30924,0
66,Grant,Grant,County,18053,IN,Indiana,40.5158,-85.6547,66802,0
67,Gibson,Gibson,County,18051,IN,Indiana,38.3119,-87.5846,33017,0
68,Fulton,Fulton,County,18049,IN,Indiana,41.047,-86.2635,20400,0
69,Franklin,Franklin,County,18047,IN,Indiana,39.4149,-85.0602,22769,0
70,Fountain,Fountain,County,18045,IN,Indiana,40.1209,-87.242,16422,0
71,Floyd,Floyd,County,18043,IN,Indiana,38.3188,-85.907,79594,0
72,Fayette,Fayette,County,18041,IN,Indiana,39.64,-85.1788,23393,0
73,Elkhart,Elkhart,County,18039,IN,Indiana,41.5974,-85.8587,206314,0
74,Dubois,Dubois,County,18037,IN,Indiana,38.3643,-86.8798,43474,0
75,Delaware,Delaware,County,18035,IN,Indiana,40.2275,-85.3969,112480,0
76,Decatur,Decatur,County,18031,IN,Indiana,39.307,-85.5011,26466,0
77,Dearborn,Dearborn,County,18029,IN,Indiana,39.1452,-84.9732,50494,0
78,DeKalb,DeKalb,County,18033,IN,Indiana,41.3976,-84.9991,43059,0
79,Daviess,Daviess,County,18027,IN,Indiana,38.7024,-87.072,33281,0
80,Crawford,Crawford,County,18025,IN,Indiana,38.2924,-86.4517,10511,0
81,Clinton,Clinton,County,18023,IN,Indiana,40.3017,-86.4751,33010,0
82,Clay,Clay,County,18021,IN,Indiana,39.3928,-87.1158,26397,0
83,Clark,Clark,County,18019,IN,Indiana,38.4772,-85.7073,120185,0
84,Cass,Cass,County,18017,IN,Indiana,40.7615,-86.346,37918,0
85,Carroll,Carroll,County,18015,IN,Indiana,40.5828,-86.5635,20288,0
86,Brown,Brown,County,18013,IN,Indiana,39.1962,-86.2274,15444,0
87,Boone,Boone,County,18011,IN,Indiana,40.0508,-86.4687,69839,0
88,Blackford,Blackford,County,18009,IN,Indiana,40.4736,-85.3248,12139,0
89,Benton,Benton,County,18007,IN,Indiana,40.6063,-87.3109,8687,0
90,Bartholomew,Bartholomew,County,18005,IN,Indiana,39.206,-85.8976,81759,0
91,Allen,Allen,County,18003,IN,Indiana,41.0909,-85.0666,381839,0
92,Adams,Adams,County,18001,IN,Indiana,40.7457,-84.9366,35685,0
