County,District,Population
18007,1,8687
18043,1,79594
18087,1,40085
18101,1,9885
18103,1,36100
18105,1,140189
18145,1,44825
18147,1,19949
18159,1,15290
18163,1,179695
18177,1,66588
18097,2,969542
18013,3,15444
18015,3,20288
18025,3,10511
18039,3,206314
18045,3,16422
18047,3,22769
18051,3,33017
18079,3,27619
18095,3,130037
18115,3,5931
18127,3,172353
18131,3,12496
18153,3,20814
18019,4,120185
18031,4,26466
18033,4,43059
18055,4,30924
18059,4,78616
18067,4,83349
18081,4,159739
18085,4,80151
18107,4,37967
18117,4,19752
18165,4,15477
18173,4,63575
18179,4,28103
18023,5,33010
18037,5,43474
18053,5,66802
18061,5,39516
18063,5,172100
18111,5,13865
18113,5,47293
18121,5,16316
18135,5,24681
18137,5,28953
18139,5,16706
18143,5,24290
18149,5,23275
18171,5,8430
18181,5,24593
18005,6,81759
18029,6,50494
18041,6,23393
18057,6,341616
18069,6,36572
18073,6,33006
18075,6,20570
18093,6,45133
18119,6,21280
18125,6,12220
18155,6,9870
18167,6,106523
18001,7,35685
18009,7,12139
18011,7,69839
18017,7,37918
18071,7,45948
18077,7,33000
18123,7,19151
18133,7,36838
18141,7,272049
18151,7,34379
18161,7,7098
18169,7,31120
18003,8,381839
18021,8,26397
18049,8,20400
18065,8,48857
18083,8,36362
18091,8,112184
18129,8,25301
18157,8,185961
18175,8,28025
18027,9,33281
18035,9,112480
18089,9,495925
18099,9,46175
18109,9,71394
18183,9,34048
